ORPHAcode,Preferred term,Typology,PrevalenceType,ValMoy,PrevalenceClass,PrevalenceQualification,PrevalenceGeographic,PrevalenceValidationStatus,Source
2032,Idiopathic pulmonary fibrosis,Disease,Point prevalence,11.6,1-5 / 10 000,Value and class,United Kingdom,Validated,34233665[PMID]
2032,Idiopathic pulmonary fibrosis,Disease,Annual incidence,1.2,1-9 / 100 000,Value and class,United Kingdom,Validated,34233665[PMID]
2032,Idiopathic pulmonary fibrosis,Disease,Point prevalence,6.7,1-9 / 100 000,Value and class,United States,Validated,34233665[PMID]
2032,Idiopathic pulmonary fibrosis,Disease,Annual incidence,2.6,1-9 / 100 000,Value and class,United States,Validated,34233665[PMID]
1303,Bronchiolitis obliterans,Clinical group,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3348,Tracheobronchopathia osteochondroplastica,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
3348,Tracheobronchopathia osteochondroplastica,Disease,Cases/families,400.0,,Case(s),Worldwide,Validated,24865333[PMID]
2902,Idiopathic chronic eosinophilic pneumonia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
2902,Idiopathic chronic eosinophilic pneumonia,Disease,Annual incidence,0.23,1-9 / 1 000 000,Value and class,Iceland,Validated,17277407[PMID]
1302,Cryptogenic organizing pneumonia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
1302,Cryptogenic organizing pneumonia,Disease,Point prevalence,0.81,1-9 / 1 000 000,Value and class,Spain,Validated,15127977[PMID]
1302,Cryptogenic organizing pneumonia,Disease,Point prevalence,0.92,1-9 / 1 000 000,Value and class,Greece,Validated,19345567[PMID]
1302,Cryptogenic organizing pneumonia,Disease,Annual incidence,1.1,1-9 / 100 000,Value and class,Iceland,Validated,18204109[PMID]
198,Occipital horn syndrome,Disease,Cases/families,35.0,,Case(s),Worldwide,Validated,[EXPERT]
198,Occipital horn syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
891,Familial exudative vitreoretinopathy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
466677,Scorpion envenomation,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_27912864[PMID]
466688,Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,Malformation syndrome,Cases/families,6.0,,Case(s),Worldwide,Validated,25388005[PMID]
466688,Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25388005[PMID]
466695,Supratip dysplasia,Morphological anomaly,Cases/families,5.0,,Case(s),Worldwide,Validated,26947355[PMID]
466695,Supratip dysplasia,Morphological anomaly,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26947355[PMID]
466670,Cyanide poisoning,Particular clinical situation in a disease or syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_7662055[PMID]
466650,Exercise-induced malignant hyperthermia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_22538307[PMID]_23476141[PMID]
466962,SMARCA4-deficient sarcoma of thorax,Disease,Cases/families,19.0,,Case(s),Worldwide,Validated,26343384[PMID]
466962,SMARCA4-deficient sarcoma of thorax,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26343384[PMID]
466950,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,Clinical subtype,Cases/families,10.0,,Case(s),Worldwide,Validated,27119754[PMID]
466950,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,Clinical subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_27119754[PMID]
466943,WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome,Malformation syndrome,Cases/families,22.0,,Case(s),Worldwide,Validated,27119754[PMID]
466943,WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_27119754[PMID]
466926,Seizures-scoliosis-macrocephaly syndrome,Disease,Cases/families,10.0,,Case(s),Worldwide,Validated,30997052[PMID]
466926,Seizures-scoliosis-macrocephaly syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_30997052[PMID]
466934,VPS11-related autosomal recessive hypomyelinating leukodystrophy,Disease,Cases/families,13.0,,Case(s),Worldwide,Validated,26307567[PMID]_27119754[PMID]
466934,VPS11-related autosomal recessive hypomyelinating leukodystrophy,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26307567[PMID]_27119754[PMID]
466921,Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome,Disease,Cases/families,3.0,,Family(ies),Worldwide,Validated,26581302[PMID]
466921,Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26581302[PMID]
466806,Autosomal dominant thrombocytopenia with platelet secretion defect,Disease,Cases/families,4.0,,Family(ies),Worldwide,Validated,26280575[PMID]_26769223[PMID]
466806,Autosomal dominant thrombocytopenia with platelet secretion defect,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26280575[PMID]_26769223[PMID]
466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,26581903[PMID]
466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26581903[PMID]
466791,Macrocephaly-intellectual disability-left ventricular non compaction syndrome,Malformation syndrome,Cases/families,6.0,,Case(s),Worldwide,Validated,26571461[PMID]_27329731[PMID]_27550220[PMID]
466791,Macrocephaly-intellectual disability-left ventricular non compaction syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26571461[PMID]_27329731[PMID]_27550220[PMID]
466784,Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,26522469[PMID]
466784,Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26522469[PMID]
466775,Autosomal recessive Charcot-Marie-Tooth disease type 2X,Disease,Cases/families,29.0,,Case(s),Worldwide,Validated,26556829[PMID]
466775,Autosomal recessive Charcot-Marie-Tooth disease type 2X,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26556829[PMID]
466768,Autosomal dominant Charcot-Marie-Tooth disease type 2Z,Disease,Cases/families,21.0,,Case(s),Worldwide,Validated,26497905[PMID]_26659848[PMID]_26912637[PMID]_27105897[PMID]_27329773[PMID]
466768,Autosomal dominant Charcot-Marie-Tooth disease type 2Z,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26497905[PMID]_26659848[PMID]_26912637[PMID]_27105897[PMID]_27329773[PMID]
466722,Autosomal recessive spastic paraplegia type 77,Disease,Cases/families,8.0,,Case(s),Worldwide,Validated,26553276[PMID]_29126765[PMID]_25851414[PMID]
466722,Autosomal recessive spastic paraplegia type 77,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_29126765[PMID]
466718,Martinique crinkled retinal pigment epitheliopathy,Disease,Cases/families,14.0,,Case(s),Worldwide,Validated,23370609[PMID]_26744326[PMID]
466718,Martinique crinkled retinal pigment epitheliopathy,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_23370609[PMID]_26744326[PMID]
466703,TMEM199-CDG,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,19067230[PMID]_26833330[PMID]_29321044[PMID]
466703,TMEM199-CDG,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_19067230[PMID]_26833330[PMID]_29321044[PMID]
465824,Fetal encasement syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,20961246[PMID]
465824,Fetal encasement syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_20961246[PMID]
466026,Class I glucose-6-phosphate dehydrogenase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_20200584[PMID]
468620,Intellectual disability-epilepsy-extrapyramidal syndrome,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,26048982[PMID]
468620,Intellectual disability-epilepsy-extrapyramidal syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26048982[PMID]
468631,Microcephalic cortical malformations-short stature due to RTTN deficiency,Malformation syndrome,Cases/families,28.0,,Case(s),Worldwide,Validated,PMID: 30879067
468631,Microcephalic cortical malformations-short stature due to RTTN deficiency,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,PMID: 30879067
467166,Tubulinopathy-associated dysgyria,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,26130693[PMID]
467166,Tubulinopathy-associated dysgyria,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26130693[PMID]
467176,Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome,Disease,Cases/families,6.0,,Case(s),Worldwide,Validated,26358778[PMID]
467176,Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26358778[PMID]
468635,Cryptogenic multifocal ulcerous stenosing enteritis,Disease,Cases/families,60.0,,Case(s),Worldwide,Validated,24369459[PMID]_25708899[PMID]
468635,Cryptogenic multifocal ulcerous stenosing enteritis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24369459[PMID]_25708899[PMID]
468641,Chronic enteropathy associated with SLCO2A1 gene,Disease,Cases/families,18.0,,Case(s),Worldwide,Validated,26539716[PMID]_17709045[PMID]
468641,Chronic enteropathy associated with SLCO2A1 gene,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24035666[PMID]_23268370[PMID]_25708899[PMID]_26539716[PMID]_17709045[PMID]
468661,Autosomal recessive spastic paraplegia type 74,Disease,Cases/families,11.0,,Case(s),Worldwide,Validated,25609768[PMID]
468661,Autosomal recessive spastic paraplegia type 74,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25609768[PMID]
468666,Isolated generalized anhidrosis with normal sweat glands,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,25329695[PMID]_2401610[PMID]
468666,Isolated generalized anhidrosis with normal sweat glands,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25329695[PMID]_2401610[PMID]
468678,White-Sutton syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26739615[PMID]_27148570[PMID]
468684,CCDC115-CDG,Disease,Cases/families,8.0,,Case(s),Worldwide,Validated,26833332[PMID]_26833330[PMID]
468684,CCDC115-CDG,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26833332[PMID]_26833330[PMID]
468672,Colobomatous macrophthalmia-microcornea syndrome,Disease,Cases/families,21.0,,Case(s),Worldwide,Validated,12900897[PMID]
468672,Colobomatous macrophthalmia-microcornea syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_12900897[PMID]
468726,Severe primary trimethylaminuria,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_25335494[PMID]
468699,SLC39A8-CDG,Disease,Cases/families,10.0,,Case(s),Worldwide,Validated,26637978[PMID]_26637979[PMID]
468699,SLC39A8-CDG,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26637978[PMID]_26637979[PMID]
468717,Rhizomelic chondrodysplasia punctata type 5,Etiological subtype,Cases/families,4.0,,Case(s),Worldwide,Validated,26220973[PMID]
468717,Rhizomelic chondrodysplasia punctata type 5,Etiological subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26220973[PMID]
401785,Autosomal recessive spastic paraplegia type 62,Disease,Cases/families,7.0,,Case(s),Worldwide,Validated,24482476[PMID]
401785,Autosomal recessive spastic paraplegia type 62,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401780,Autosomal recessive spastic paraplegia type 61,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,24482476[PMID]
401780,Autosomal recessive spastic paraplegia type 61,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401800,Autosomal recessive spastic paraplegia type 60,Disease,Cases/families,1.0,,Case(s),Worldwide,Validated,24482476[PMID]
401800,Autosomal recessive spastic paraplegia type 60,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401795,Autosomal recessive spastic paraplegia type 59,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,24482476[PMID]
401795,Autosomal recessive spastic paraplegia type 59,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401768,Proximal myopathy with extrapyramidal signs,Disease,Cases/families,15.0,,Case(s),Worldwide,Validated,24336167[PMID]
401768,Proximal myopathy with extrapyramidal signs,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24336167[PMID]
401764,Pancytopenia-developmental delay syndrome,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,24507776[PMID]_27185855[PMID]
401764,Pancytopenia-developmental delay syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24507776[PMID]_27185855[PMID]
401777,Optic atrophy-intellectual disability syndrome,Disease,Cases/families,6.0,,Case(s),Worldwide,Validated,24462372[PMID]
401777,Optic atrophy-intellectual disability syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24462372[PMID]
401830,Autosomal recessive spastic paraplegia type 69,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,24482476[PMID]
401830,Autosomal recessive spastic paraplegia type 69,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401835,Autosomal recessive spastic paraplegia type 70,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,24482476[PMID]
401835,Autosomal recessive spastic paraplegia type 70,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401840,Autosomal recessive spastic paraplegia type 71,Disease,Cases/families,1.0,,Case(s),Worldwide,Validated,24482476[PMID]
401840,Autosomal recessive spastic paraplegia type 71,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401805,Autosomal recessive spastic paraplegia type 63,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,24482476[PMID]
401805,Autosomal recessive spastic paraplegia type 63,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401810,Autosomal recessive spastic paraplegia type 64,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,24482476[PMID]
401810,Autosomal recessive spastic paraplegia type 64,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401815,Autosomal recessive spastic paraplegia type 66,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,24482476[PMID]
401815,Autosomal recessive spastic paraplegia type 66,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401820,Autosomal recessive spastic paraplegia type 67,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,24482476[PMID]
401820,Autosomal recessive spastic paraplegia type 67,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24482476[PMID]
401866,Childhood-onset spasticity with hyperglycinemia,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,24777537[PMID]_17485548[PMID]_24334290[PMID]
401866,Childhood-onset spasticity with hyperglycinemia,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_17485548[PMID]_24334290[PMID]
401869,Multiple mitochondrial dysfunctions syndrome type 1,Disease,Cases/families,21.0,,Case(s),Worldwide,Validated,24777537[PMID]_22077971[PMID]
401869,Multiple mitochondrial dysfunctions syndrome type 1,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24777537[PMID]_22077971[PMID]
401874,Multiple mitochondrial dysfunctions syndrome type 2,Disease,Cases/families,6.0,,Case(s),Worldwide,Validated,24777537[PMID]_21944046[PMID]_24334290[PMID]_22562699[PMID]
401874,Multiple mitochondrial dysfunctions syndrome type 2,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24777537[PMID]_21944046[PMID]_24334290[PMID]_22562699[PMID]
401849,Autosomal spastic paraplegia type 72,Disease,Cases/families,14.0,,Case(s),Worldwide,Validated,24388663[PMID]
401849,Autosomal spastic paraplegia type 72,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24388663[PMID]
401859,Lipoic acid synthetase deficiency,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,24777537[PMID]_22152680[PMID]_24334290[PMID]
401859,Lipoic acid synthetase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24777537[PMID]_22152680[PMID]_24334290[PMID]
401862,Lipoyl transferase 1 deficiency,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,27247813[PMID]
401862,Lipoyl transferase 1 deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_27247813[PMID]
402823,Hepatitis delta,Disease,Point prevalence,40.0,1-5 / 10 000,Value and class,Europe,Validated,European Medicines Agency 2014[INST]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.02,<1 / 1 000 000,Value and class,United States,Validated,SEER Surveillance Epidemiology and end results [REG]_14999699[PMID]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.009,<1 / 1 000 000,Value and class,Austria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.019,<1 / 1 000 000,Value and class,Belgium,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.029,<1 / 1 000 000,Value and class,Bulgaria,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.029,<1 / 1 000 000,Value and class,Czech Republic,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.018,<1 / 1 000 000,Value and class,Estonia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.002,<1 / 1 000 000,Value and class,Finland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.031,<1 / 1 000 000,Value and class,France,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.019,<1 / 1 000 000,Value and class,Germany,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.043,<1 / 1 000 000,Value and class,Iceland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.022,<1 / 1 000 000,Value and class,Ireland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.13,1-9 / 1 000 000,Value and class,Italy,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.022,<1 / 1 000 000,Value and class,Latvia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.003,<1 / 1 000 000,Value and class,Norway,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.005,<1 / 1 000 000,Value and class,Poland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.006,<1 / 1 000 000,Value and class,Portugal,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.008,<1 / 1 000 000,Value and class,Slovakia,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.009,<1 / 1 000 000,Value and class,Spain,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.017,<1 / 1 000 000,Value and class,Switzerland,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.022,<1 / 1 000 000,Value and class,Netherlands,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.016,<1 / 1 000 000,Value and class,United Kingdom,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401920,Fibrolamellar hepatocellular carcinoma,Disease,Annual incidence,0.025,<1 / 1 000 000,Value and class,Europe,Validated,RARECARE surveillance of rare cancers in Europe[REG]
401911,AXIN2-related attenuated familial adenomatous polyposis,Clinical subtype,Cases/families,4.0,,Family(ies),Worldwide,Validated,23838596[PMID]
401911,AXIN2-related attenuated familial adenomatous polyposis,Clinical subtype,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_23838596[PMID]
401901,Huntington disease-like syndrome due to C9ORF72 expansions,Disease,Cases/families,10.0,,Case(s),Worldwide,Validated,24363131[PMID]
401901,Huntington disease-like syndrome due to C9ORF72 expansions,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24363131[PMID]
401942,Familial median cleft of the upper and lower lips,Malformation syndrome,Cases/families,8.0,,Case(s),Worldwide,Validated,23860042[PMID]
401942,Familial median cleft of the upper and lower lips,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_23860042[PMID]
401935,14q24.1q24.3 microdeletion syndrome,Malformation syndrome,Cases/families,3.0,,Case(s),Worldwide,Validated,24357125[PMID]
401935,14q24.1q24.3 microdeletion syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24357125[PMID]
401923,9q31.1q31.3 microdeletion syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,24376033[PMID]
401923,9q31.1q31.3 microdeletion syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24376033[PMID]
401959,Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,24045845[PMID]
401959,Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24045845[PMID]
401953,Episodic ataxia with slurred speech,Disease,Cases/families,13.0,,Case(s),Worldwide,Validated,23982692[PMID]
401953,Episodic ataxia with slurred speech,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_23982692[PMID]
401948,Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,Disease,Cases/families,4.0,,Case(s),Worldwide,Validated,25834911[PMID]
401948,Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_25834911[PMID]
401945,Moyamoya disease with early-onset achalasia,Disease,Cases/families,9.0,,Case(s),Worldwide,Validated,24581742[PMID]
401945,Moyamoya disease with early-onset achalasia,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24581742[PMID]
401986,1p31p32 microdeletion syndrome,Malformation syndrome,Cases/families,5.0,,Case(s),Worldwide,Validated,24462883[PMID]
401986,1p31p32 microdeletion syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24462883[PMID]
401979,"Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type",Malformation syndrome,Cases/families,4.0,,Case(s),Worldwide,Validated,18925669[PMID]_2445848[PMID]
401979,"Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type",Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18925669[PMID]_2445848[PMID]
401973,MEND syndrome,Malformation syndrome,Cases/families,24.0,,Case(s),Worldwide,Validated,22229330[PMID]_24459067[PMID]_24700572[PMID]_27276700[PMID]
401973,MEND syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_22229330[PMID]_24459067[PMID]_24700572[PMID]_27276700[PMID]
401964,Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons,Disease,Cases/families,2.0,,Family(ies),Worldwide,Validated,24500646[PMID]_15111691[PMID]_14557576[PMID]
401964,Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24500646[PMID]_15111691[PMID]_14557576[PMID]
402003,Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,Disease,Cases/families,21.0,,Case(s),Worldwide,Validated,21801157[PMID]_19609311[PMID]
402003,Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_21801157[PMID]_19609311[PMID]
401996,Karyomegalic interstitial nephritis,Disease,Cases/families,12.0,,Family(ies),Worldwide,Validated,22772369[PMID]
401996,Karyomegalic interstitial nephritis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_22772369[PMID]
402035,Eosinophilic colitis,Disease,Cases/families,196.0,,Case(s),Worldwide,Validated,22012125[PMID]
402035,Eosinophilic colitis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_22012125[PMID]
